STR_NR;AverageAnualTFlow
2932;125711.7059
2933;82873.6
2950;86505.11111
2951;44002
2960;102589.4444
2961;52892.6
2963;44820
2970;54392.66667
2971;48175
2974;54790
2975;97256
2980;72188.125
2981;96995
2982;62940
2983;54603.5
2984;82048.8
2990;107407.8387
2992;57079.36957
2993;76225.28571
3000;112973
3005;114192.6667
3010;61079.94643
3011;93334.47059
3012;137060.25
3014;110002.6667
3018;146305.5
3020;76854
3031;48612
3032;50039
3033;82128
3112;59420
3120;41125
3123;33724
3132;69581.5
3141;76452.3
3142;74683.08333
3144;73369
3145;77223.25
3146;71626
3147;76394
3204;39244
3211;63101
3212;64805
3215;56718
3220;51719.33333
3230;54605.26415
3231;66406.125
3232;32965
3233;61428.66667
3234;72575.76923
3238;77149.125
3240;85379.5
3241;76295
3250;65272.875
3251;44148.57143
3254;41124
3260;72548
3261;61629.25
3262;61915
3263;63957.5
3264;82148
3280;71249.58065
3282;62257.625
3290;57389
3295;57578.5
3300;74349.6
3302;80862.33333
3303;81263
3306;68870
3309;58189
3310;46757
3320;57661
3321;57272
3400;48953.47059
3401;110527.8095
3403;102151.6667
3404;100029.5
3405;102970.3333
3410;100029.5
3411;100017.5
3412;93118.33333
3430;46363.25
3433;50797.42105
3435;70333.4
3436;83253
3442;49425
3443;69248.96296
3450;50503.77778
3451;35097
3501;57972.5
3505;138302.375
3506;123585
3507;74475.89474
3508;102348.2
3509;118028
3510;121921.2
3511;59618.13158
3512;64096.625
3515;77738
3520;198348.1636
3521;128290.5714
3522;104127.4419
3523;125503.1
3525;99924.20833
3526;183349
3527;120033.0909
3528;127839.3333
3529;118929
3530;107958.3333
3531;96120
3532;100995
3533;107264.25
3534;97460
3535;173630.5
3538;104331.8333
3539;77147
3540;57089.125
3541;115507.875
3543;95983
3550;140026
3554;46799.25
3557;79468.80645
3560;51639.55556
3569;65059
3570;63798.3
3571;75925.33333
3572;58324
3574;50527.33333
3600;123261.1678
3601;137606.8406
3603;174099.0182
3604;132760.4
3606;175074
3609;169355
3610;172933.5952
3611;195262.5806
3612;397238.625
3613;304027.8125
3615;69050.66667
3618;325020
3620;243439.5
3621;119428.75
3622;265800.3333
3623;66457
3624;124114.3333
3626;95569
3627;62337
3628;143025
3631;199277.5333
3634;186346.3333
3636;194714.5
3640;130691.6667
3641;39556
3642;129031.3333
3644;161671.5
3650;129139.5
3651;86455
3653;74128.66667
3654;87644
3655;117136.25
3656;85188
3658;168104.9
3660;87806.54054
3661;63809.69565
3662;46211.66667
3664;159999.6667
3670;83111.8
3671;92306.33333
3672;53658.5
3673;85719.33333
3674;109198
3677;102033
3680;155404.3478
3681;248958.2
3682;248958.2
3683;180103.6957
3684;181458.4
3687;97457
3688;126567.2778
3700;119390.4
3701;101401.8
3702;84423
3703;70733.25
3704;85113
3710;62333.75
3720;38864.5
3730;46665.25
3731;44895
3740;107601.25
3742;103622.7857
3743;107108.8333
3744;120929
3745;64189.66667
3801;91151.3
3804;85093.5
3805;69726.54545
3807;115099.1667
3809;88141.8
3810;98343
3817;57265
3824;156952
3825;75707.65517
3826;61361.66667
3828;156725.3333
3900;111153.1858
3901;206198
3903;51884.57143
3909;122768
3912;139273.8182
3913;128571.9167
3914;81215.2
3915;119819.5
3918;108887.25
3925;81215.2
3926;109575
3936;48117
3941;45311
3944;39980.5
3950;43363
4000;96726.36649
4002;152843.5455
4003;233204.375
4004;220016
4010;115277.1842
4011;107516.0625
4020;115788.2909
4021;69000.25
4030;154096.6667
4031;74504
4032;74504
4050;119900.8
4051;123815.3333
4052;113019.625
4060;101929.3333
4061;111412
4062;103303.2
4080;106025.0263
4082;122975
4083;51098.66667
4085;52228.5
4100;90321.4
4104;107556
4110;55745.57143
4111;66815.375
4113;89870.58333
4114;69017.6
4115;41743
4120;47359.9
4130;55930.71429
4131;82485
4132;77407.22222
4200;72324.3
4210;58962.33333
4211;97587
4213;86667.75
4214;93879.8
4215;76245
4217;97587
4220;46631
4228;47582
4240;79760.25
4242;111437
4250;50950.60714
4251;37486
4260;106108
4261;120672
4262;106843
4263;110693.1
4280;99648.8913
4300;79035.66667
4310;117651
4311;110305
4312;57830.125
4313;43463
4314;102744
4322;45709
4330;42376.57143
4331;35916
4400;42725.71429
4405;112720
4410;104986.8
4411;79313
4413;103860.2
4415;118623.6
4500;52541.90323
4510;46921
4513;32862
4530;52878.66667
4531;71108
4540;87034.57143
4541;95272.5
4542;74624
4543;78836
4550;36221.75
4560;33249.33333
4600;49794.18919
4610;53865.66667
4621;52277
4630;57173.2
4631;52360.57143
4633;74091
4650;39767.66667
4660;44371.66667
4661;41228.2
4700;140238.3731
4701;203400.2258
4710;105434.5769
4711;142326.5
4713;157041.0833
4714;98830
4720;104520.5
4721;139151.75
4723;165440
4724;174663.6667
4727;138319
4730;72850
4760;88375.42857
4800;140592.0577
4801;194888
4802;474456.3333
4803;222991.5
4810;66743.52941
4811;171841
4812;46417
4820;131429.4
4821;122482
4826;128479.5
4828;159730
4840;39051
4841;38761
4842;73010.16667
4843;50940
4850;54168.33333
4860;125260
4861;141431.45
4864;100289
4870;66289.16667
4871;107875.3333
4880;40626.5
4881;38953
4900;64737.83333
4910;51388.77778
4914;72146
4920;38750
4922;31990
4930;50842.77778
4931;59714.375
4940;42347
4950;41032.28
5001;45778.33333
5007;31410
5010;64467.5
5021;39290
5025;31726
5027;118976
5050;44953.5
5051;39097.5
5060;44685.2
5100;56881.5
5102;51588.6129
5103;34209.5
5110;54375
5113;74064
5121;53092
5122;53092
5200;79364.05882
5201;132695.9231
5209;179086.7143
5210;71476
5212;46860.33333
5213;55695
5214;48661.5
5215;62789.33333
5216;53479.66667
5220;91603
5227;46545
5228;81312
5230;62278.33333
5231;63417.66667
5233;38498.33333
5240;51001.71429
5250;80068.33333
5251;84450
5253;65385
5300;116157.3333
5302;83913.69231
5304;112014.9444
5305;171042.0833
5306;226216.6
5307;70972
5308;59500
5309;109583.6667
5310;66615.5
5320;95865.44186
5321;79590.81818
5323;52088.5
5330;55384.25
5340;58194.5
5350;49924
5351;76567
5360;43296.75
5361;39921
5362;44932.625
5363;58163.66667
5364;57983
5370;75296
5381;77314.16667
5382;82220
5383;69347.5
5386;112404.3333
5387;30305
5400;55837.11111
5402;41829.5
5420;76603
5421;48930
5440;39206
5450;49969.66667
5451;32449
5453;62282.66667
5500;176261.6567
5501;183904.8182
5502;121933
5503;270380.4561
5504;259002.234
5505;192496.9286
5506;79103.75
5507;49621
